r,f,rho_eff,Kretschmann
0.001,0.9999990000000005,0.11936620719955529,23.999999915999997
0.0010531690717345559,0.999998890834907,0.11936620717948525,23.99999990187637
0.0011091650936582262,0.9999987697527959,0.11936620715604068,23.999999885378035
0.0011681383720884046,0.9999986354527447,0.11936620712865414,23.999999866105675
0.0012302472049898602,0.999998486491816,0.1193662070966629,23.999999843592907
0.001295658306883203,0.9999983212695537,0.11936620705929273,23.999999817294874
0.0013645472563453493,0.9999981380107875,0.11936620701563913,23.99999978657512
0.0014370989673031652,0.9999979347465613,0.11936620696464577,23.99999975069023
0.0015135081853853633,0.9999977092929767,0.11936620690507838,23.99999970877167
0.0015939800106649553,0.9999974592277308,0.11936620683549548,23.99999965980502
0.0016787304481954484,0.9999971818640889,0.11936620675421303,23.99999960260519
0.0017679869878185336,0.9999968742220195,0.11936620665926387,23.999999535787875
0.0018619892147996185,0.9999965329961752,0.11936620654835015,23.999999457736013
0.0019609894529302686,0.99999615452038,0.1193662064187875,23.999999366560623
0.0020652534418238258,0.9999957347282398,0.11936620626744043,23.999999260055162
0.002175061050222195,0.9999952691094521,0.1193662060906461,23.999999135642046
0.0022907070272284954,0.999994752661347,0.11936620588412593,23.999998990310324
0.0024125017934820583,0.9999941798351373,0.11936620564288171,23.99999882054274
0.002540772274399451,0.9999935444763026,0.11936620536107513,23.999998622230734
0.002675862777718163,0.9999928397584634,0.11936620503188602,23.999998390574866
0.002818135917698488,0.9999920581100382,0.11936620464734757,23.99999811996876
0.0029679735884643277,0.9999911911328934,0.11936620419815351,23.99999780386338
0.0031257779890956545,0.999990229512112,0.11936620367343267,23.999997434608574
0.0032919727032241775,0.9999891629159146,0.11936620306048615,23.99999700326788
0.0034670038360301,0.9999879798846514,0.11936620234447975,23.999996499402272
0.0036513412116919645,0.9999866677076803,0.11936620150808525,23.999995910817542
0.003845479634503755,0.999985212286801,0.11936620053106076,23.99999522326917
0.004049940217044459,0.9999835979847831,0.11936619938976097,23.999994420117552
0.004265271778965158,0.9999818074573574,0.11936619805656493,23.999993481925404
0.00449205232014833,0.9999798214668676,0.11936619649920743,23.999992385987188
0.004730890572193674,0.9999776186755789,0.11936619467999848,23.99999110577983
0.004982427632394973,0.9999751754164232,0.11936619255491077,23.99998961032061
0.00524733868459401,0.9999724654387183,0.11936619007251423,23.999987863417463
0.005526334811530699,0.9999694596261282,0.11936618717273183,23.99998582279314
0.005820164903554148,0.9999661256838347,0.11936618378538477,23.999983439061857
0.006129617668818164,0.9999624277915606,0.1193661798284949,23.99998065453433
0.0064555237503569575,0.9999583262187143,0.11936617520630027,23.99997740182147
0.006798757955723809,0.9999537768975225,0.11936616980693765,23.999973602203582
0.007160241605177571,0.9999487309495659,0.11936616349973549,23.99996916372526
0.0075409450047200085,0.9999431341606284,0.11936615613205125,23.999963978969934
0.0079418900506223,0.9999369263982214,0.11936614752557746,23.999957922460386
0.008364152972431801,0.999930040965522,0.11936613747202633,23.999950847622014
0.008808867221821818,0.9999224038847881,0.11936612572808913,23.99994258323573
0.009277226515039039,0.9999139331025493,0.11936611200954758,23.99993292929427
0.009770488037114874,0.9999045376080362,0.11936609598439586,23.999921652162044
0.01028997581644185,0.9998941164553792,0.11936607726480523,23.999908478921032
0.010837084278773087,0.9998825576790711,0.11936605539773869,23.999893090766147
0.0114132819901846,0.9998697370910453,0.1193660298539868,23.99987511529032
0.01202011559904744,0.9998555169464477,0.11936600001536046,23.999854117472317
0.012659213987590841,0.9998397444637724,0.11936596515973025,23.999829589149563
0.013332292644200152,0.9998222501834665,0.11936592444355039,23.999800936721183
0.014041158268185715,0.9998028461473756,0.11936587688144475,23.999767466783798
0.014787713619383133,0.9997813238794804,0.11936582132236007,23.999728369352475
0.015573962625602176,0.9997574521462411,0.11936575642171042,23.999682698261207
0.016402015761634112,0.9997309744725021,0.11936568060883829,23.999629348268726
0.01727409571425574,0.9997016063862887,0.11936559204900467,23.999567028316036
0.01819254334843659,0.99966903236292,0.11936548859898964,23.99949423028907
0.019159823990763623,0.9996329024356424,0.11936536775522784,23.99940919253127
0.02017853404695,0.9995928284364093,0.11936522659322495,23.99930985722396
0.02125140797119045,0.9995483798264793,0.11936506169678981,23.99919382060486
0.02238132560607099,0.9994990790721118,0.11936486907536921,23.999058274821472
0.023571319912734617,0.9994443965157723,0.119364644067487,23.998899940015253
0.02482458511205297,0.9993837446878744,0.11936438122795139,23.998714984996266
0.02614448525865629,0.9993164719981039,0.11936407419610356,23.998498934593854
0.027534563270836827,0.9992418557387625,0.11936371554192075,23.99824656144772
0.028998550440563615,0.9991590943252328,0.11936329658625457,23.997951759630194
0.030540376449136066,0.9990672986905555,0.1193628071908579,23.997607397053706
0.032164179915360525,0.9989654827421288,0.11936223551312741,23.997205143109348
0.03387431950456347,0.9988525527785956,0.11936156771963478,23.996735267388427
0.03567538562826087,0.9987272957539993,0.11936078765152813,23.996186404648924
0.0375722127658878,0.9985883662641261,0.11935987643372362,23.995545280382416
0.039569892441663285,0.9984342721165287,0.11935881201845454,23.994796390400552
0.04167378689142272,0.9982633583308954,0.11935756865216518,23.99392162676924
0.043889543456103366,0.998073789400064,0.11935611625289479,23.99289984114975
0.04622310974051781,0.9978635296239484,0.11935441968314621,23.991706335132786
0.04868074957810565,0.9976303213087809,0.11935243790072957,23.99031226544007
0.05126905984451587,0.9973716606022308,0.11935012296714811,23.988683949883946
0.05399498816515218,0.9970847707109765,0.11934741888968986,23.986782057677768
0.056865851564211624,0.9967665722210177,0.11934426026942263,23.98456066503234
0.0598893561052758,0.9964136502122599,0.11934057072267355,23.981966153906665
0.06307361757617354,0.9960222178275333,0.11933626103820033,23.978935928248223
0.06642718327363906,0.9955880759221017,0.11933122702601694,23.975396918000236
0.06995905494623966,0.9951065683827532,0.119325347006575,23.971263836504438
0.07367871295715797,0.994572532665719,0.11931847888057848,23.966437151626593
0.07759614173168686,0.9939802450599328,0.11931045670993846,23.96080072490837
0.08172185655774364,0.9933233601366576,0.11930108672906004,23.954219066249326
0.0860669318113434,0.9925948437985145,0.11929014269257146,23.94653414399555
0.09064303068279381,0.9917868992909019,0.11927736045050759,23.93756168183382
0.09546243648340481,0.9908908854874018,0.11926243162457001,23.927086864571965
0.1005380856167464,0.9898972267090749,0.11924499623911403,23.914859364792502
0.10588360230295811,0.9887953132870702,0.11922463413764353,23.90058759164827
0.11151333514931729,0.9875733920308339,0.11920085498950521,23.88393205199464
0.11744239566523078,0.9862184457233124,0.11917308666185514,23.864497703069638
0.12368669882503354,0.9847160607338704,0.11914066169852099,23.841825165727045
0.13026300578747216,0.9830502818245154,0.11910280160989116,23.81538065883219
0.13718896888654514,0.9812034532324805,0.11905859863628318,23.784544510337206
0.14448317901446361,0.9791560451516315,0.11900699460144605,23.748598100892355
0.15216521552392015,0.9768864648187187,0.11894675642324802,23.706709104598342
0.16025569878361562,0.9743708515541061,0.1188764477959124,23.657914912750886
0.16877634552811305,0.9715828553308209,0.11879439650370974,23.60110416572933
0.1777500271505935,0.9684933987769722,0.11869865677191876,23.534996382948783
0.18720083109498245,0.9650704229884822,0.11858696601045944,23.458119780797507
0.19715412551224007,0.9612786181843286,0.11845669526377309,23.368787516336067
0.20763662735436397,0.9570791411287517,0.11830479265439907,23.26507280624625
0.2186764740888894,0.9524293224409428,0.11812771910730101,23.144783665848976
0.2303032992263811,0.9472823684948815,0.11792137568125255,23.005438415598896
0.24254831186365344,0.9415870646802902,0.11768102193148543,22.844243639287495
0.25544438045622747,0.9352874894697467,0.1174011849097629,22.65807697793198
0.2690261210448938,0.9283227521568952,0.11707555870762237,22.4434780328726
0.28332999017319876,0.9206267714557426,0.11669689490910888,22.196651749511542
0.2983943827452686,0.9121281175552106,0.11625688499585712,21.91348995867466
0.31425973508664035,0.9027499468850821,0.11574603670767723,21.589618228355157
0.3309686334847444,0.8924100669337184,0.11515354768679638,21.220476724638505
0.34856592850038276,0.8810211780835588,0.11446718151590277,20.80144519817403
0.3670988553570413,0.8684913506215389,0.11367315359747757,20.328023157294545
0.3866171607311932,0.8547248076932452,0.1127560373078624,19.79607621659804
0.4071732362839203,0.8396230985818673,0.11169870456235517,19.202157725434418
0.42882225929229134,0.8230867604661454,0.1104823193580891,18.54391001360487
0.4516223407579771,0.8050175793002815,0.1090864079232847,17.820540639086296
0.475634681390666,0.7853215693891964,0.10748903452166791,17.033354529346838
0.500923735884969,0.7639127932632366,0.10566711719831218,16.186301871055676
0.5275573859317786,0.7407181339713345,0.103596921891197,15.286474101431796
0.5556071224284795,0.7156831049320014,0.10125477497232555,14.344448652913428
0.5851482373771095,0.6887787308392329,0.09861803147167647,13.374353037373007
0.616260025985562,0.6600094490933632,0.09566632650055762,12.393501099523835
0.6490259995143276,0.629421857882414,0.0923831179450485,11.42146459639864
0.6835341094400961,0.5971139705198224,0.08875749677221358,10.478500399348107
0.7198769835379323,0.5632444284962794,0.08478619583300083,9.583373060950528
0.7581521745157164,0.5280408910248313,0.08047566986005948,8.750795464701906
0.798462421868252,0.49180658445375214,0.07584405347747691,7.988929702621959
0.8409159276539123,0.45492380586242653,0.07092274088002186,7.297580339127089
0.8856266469340729,0.4178530923664334,0.06575728653764977,6.667772663598009
0.9327145936549448,0.3811268598908676,0.060407320971830984,6.083236277864194
0.9823061627928518,0.3453366426843988,0.05494522888023697,5.523862849201269
1.0345344696276813,0.31111365588409656,0.0494534602604547,4.970552153516217
1.0895397070551849,0.27910322903730567,0.04402053399751822,4.4102270673000055
1.147469521897249,0.24993461573402165,0.038736020794180266,3.839495509260596
1.2084794112202204,0.22418860023650622,0.03368501038993877,3.2657039215987957
1.2727331397251223,0.20236598477254242,0.028942718288772495,2.704956138144517
1.3404031793301125,0.1848602585703777,0.02456991944111961,2.177748989403164
1.411671172125142,0.17193741400059037,0.02060978854553325,1.7037124737936928
1.4867284179414684,0.16372501082013036,0.01708649723275206,1.2971476047085713
1.565776387844801,0.16021135903646377,0.014005622903120633,0.9645705819161577
1.6490272649303934,0.16125435182480086,0.01135613664205546,0.7045920297483005
1.7367045138717159,0.1665983076549058,0.009113525620322891,0.5096313815977885
1.8290434807514881,0.1758963885695518,0.007243507438060705,0.3685226735282718
1.9262920247851858,0.18873584821576972,0.00570581202871494,0.26908248598897505
2.0287111836326925,0.20466350448019677,0.004457612620791165,0.20003304664746138
2.1365758740839524,0.22320931047743398,0.0034563374559233354,0.15207449850858948
2.2501756299994438,0.2439065551266303,0.002661746387731206,0.1182065270590378
2.3698153794862336,0.26630790835749996,0.0020372813823382615,0.09354646668909196
2.495816263395791,0.28999712311190873,0.0015507834961673718,0.07490217911386496
2.6285164973405504,0.3145966548063289,0.0011747109201717633,0.06029405460932041
2.7682722795431136,0.3397717430725038,0.0008860013728002127,0.04853753623868494
2.9154587469549242,0.36523163713525186,0.0006657088627643823,0.038928980221322455
3.070470982210909,0.3907286687932403,0.0004985203507143869,0.0310346022648803
3.2337250741229497,0.41605582354328574,0.0003722302652371658,0.024562206670757876
3.405659234558825,0.441043364899935,0.000277225300579935,0.019290705103657425
3.5867349747045356,0.46555495559410576,0.0002060109729952515,0.0150356245251639
3.7774383438674417,0.48948360976781813,0.00015279573673934897,0.011634657434171938
3.9782812341453875,0.512747712770883,0.0001131376733085174,0.008942983413151343
4.189802754463901,0.5352872643458277,8.365198147704887e-05,0.006832467687862077
4.412570677669632,0.5570604377294163,6.17737036800907e-05,0.005191767374283907
4.647182964564447,0.5780405001599088,4.556840703952343e-05,0.00392611390272325
4.8942693689709795,0.5982131070442436,3.358315179563097e-05,0.0029564540742202236
5.154493128138032,0.6175739598751987,2.473047444810919e-05,0.0022180397432606156
5.428552743023278,0.6361268042837772,1.81989058443125e-05,0.0016586860132926228
5.717183853231903,0.6538817370966395,1.3384488901652733e-05,0.0012369152446223561
6.021161211644035,0.6708537880908398,9.838708567829871e-06,0.0009201516653388391
6.3413007640312555,0.6870617418589688,7.229117918102602e-06,0.0006830705946810329
6.678461839244428,0.702527166742133,5.30970288283389e-06,0.0005061548750911639
7.033549455851709,0.7172736203818886,3.898664620169666e-06,0.0003744740405134566
7.407516751418435,0.7313260045479073,2.8618185439278487e-06,0.0002766781784853406
7.801367540949518,0.7447100451573732,2.1002253295425705e-06,0.00020418544404378572
8.2161590113619,0.7574518765876821,1.5409973419049227e-06,0.00015053656846871852
8.653004559219518,0.7695777123617025,1.1304793478703244e-06,0.00011088877856031574
9.113076779348098,0.781113586984545,8.29199223119224e-07,8.162329193957107e-05
9.597610612351774,0.7920851561048767,6.081348385898279e-07,6.004360828470131e-05
10.10790665948023,0.8025175442618515,4.4595757173357657e-07,4.4145308081015274e-05
10.64533467374434,0.8124352312764735,3.269991686451375e-07,3.2441495515986665e-05
11.211337236650996,0.821861969878285,2.397535358137723e-07,2.383112044190817e-05
11.807433630426779,0.8308207284532553,1.7577359854675926e-07,1.7500078915016068e-05
12.435223916123961,0.8393336538859488,1.2885960321661096e-07,1.2847205571948896e-05
13.096393228555607,0.847422050376792,9.446221339132673e-08,9.429064821788956e-06
13.79271629958862,0.8551063708696098,6.924377908618932e-08,6.9188740531031285e-06
