I_curvature,phi_lattice_min,E_unwind
0.0,1.0,1.0
0.007537688442211055,0.9923451170931539,0.9697302609803481
0.01507537688442211,0.9844404221924815,0.9391992822279741
0.022613065326633167,0.9762597342363051,0.9083673358257223
0.03015075376884422,0.96777195208653,0.8771868752972916
0.03768844221105527,0.9589396537148283,0.8456002664180864
0.04522613065326633,0.9497171366542361,0.8135366033329119
0.052763819095477386,0.94004760049067,0.7809071168365771
0.06030150753768844,0.9298589620540376,0.7475983337791615
0.0678391959798995,0.9190573926512837,0.7134614809962511
0.07537688442211055,0.907516849222376,0.6782952692220025
0.0829145728643216,0.8950610684085815,0.6418161925623359
0.09045226130653267,0.8814300930028344,0.6036031463139973
0.09798994974874371,0.8662111230718821,0.5629826680973294
0.10552763819095477,0.8486720877681356,0.518751869770311
0.11306532663316582,0.8272485383901669,0.4683214330576605
0.12060301507537688,0.7968880844384959,0.40326388722000084
0.12814070351758794,0.0,0.0
0.135678391959799,0.0,0.0
0.14321608040201003,0.0,0.0
0.1507537688442211,0.0,0.0
0.15829145728643215,0.0,0.0
0.1658291457286432,0.0,0.0
0.17336683417085427,0.0,0.0
0.18090452261306533,0.0,0.0
0.18844221105527637,0.0,0.0
0.19597989949748743,0.0,0.0
0.20351758793969849,0.0,0.0
0.21105527638190955,0.0,0.0
0.2185929648241206,0.0,0.0
0.22613065326633164,0.0,0.0
0.2336683417085427,0.0,0.0
0.24120603015075376,0.0,0.0
0.24874371859296482,0.0,0.0
0.2562814070351759,0.0,0.0
0.2638190954773869,0.0,0.0
0.271356783919598,0.0,0.0
0.27889447236180903,0.0,0.0
0.28643216080402006,0.0,0.0
0.29396984924623115,0.0,0.0
0.3015075376884422,0.0,0.0
0.30904522613065327,0.0,0.0
0.3165829145728643,0.0,0.0
0.32412060301507534,0.0,0.0
0.3316582914572864,0.0,0.0
0.33919597989949746,0.0,0.0
0.34673366834170855,0.0,0.0
0.3542713567839196,0.0,0.0
0.36180904522613067,0.0,0.0
0.3693467336683417,0.0,0.0
0.37688442211055273,0.0,0.0
0.3844221105527638,0.0,0.0
0.39195979899497485,0.0,0.0
0.39949748743718594,0.0,0.0
0.40703517587939697,0.0,0.0
0.414572864321608,0.0,0.0
0.4221105527638191,0.0,0.0
0.4296482412060301,0.0,0.0
0.4371859296482412,0.0,0.0
0.44472361809045224,0.0,0.0
0.4522613065326633,0.0,0.0
0.45979899497487436,0.0,0.0
0.4673366834170854,0.0,0.0
0.4748743718592965,0.0,0.0
0.4824120603015075,0.0,0.0
0.48994974874371855,0.0,0.0
0.49748743718592964,0.0,0.0
0.5050251256281407,0.0,0.0
0.5125628140703518,0.0,0.0
0.5201005025125628,0.0,0.0
0.5276381909547738,0.0,0.0
0.5351758793969849,0.0,0.0
0.542713567839196,0.0,0.0
0.550251256281407,0.0,0.0
0.5577889447236181,0.0,0.0
0.5653266331658291,0.0,0.0
0.5728643216080401,0.0,0.0
0.5804020100502513,0.0,0.0
0.5879396984924623,0.0,0.0
0.5954773869346733,0.0,0.0
0.6030150753768844,0.0,0.0
0.6105527638190954,0.0,0.0
0.6180904522613065,0.0,0.0
0.6256281407035176,0.0,0.0
0.6331658291457286,0.0,0.0
0.6407035175879396,0.0,0.0
0.6482412060301507,0.0,0.0
0.6557788944723618,0.0,0.0
0.6633165829145728,0.0,0.0
0.6708542713567839,0.0,0.0
0.6783919597989949,0.0,0.0
0.685929648241206,0.0,0.0
0.6934673366834171,0.0,0.0
0.7010050251256281,0.0,0.0
0.7085427135678392,0.0,0.0
0.7160804020100502,0.0,0.0
0.7236180904522613,0.0,0.0
0.7311557788944724,0.0,0.0
0.7386934673366834,0.0,0.0
0.7462311557788944,0.0,0.0
0.7537688442211055,0.0,0.0
0.7613065326633166,0.0,0.0
0.7688442211055276,0.0,0.0
0.7763819095477387,0.0,0.0
0.7839195979899497,0.0,0.0
0.7914572864321607,0.0,0.0
0.7989949748743719,0.0,0.0
0.8065326633165829,0.0,0.0
0.8140703517587939,0.0,0.0
0.821608040201005,0.0,0.0
0.829145728643216,0.0,0.0
0.8366834170854272,0.0,0.0
0.8442211055276382,0.0,0.0
0.8517587939698492,0.0,0.0
0.8592964824120602,0.0,0.0
0.8668341708542713,0.0,0.0
0.8743718592964824,0.0,0.0
0.8819095477386935,0.0,0.0
0.8894472361809045,0.0,0.0
0.8969849246231155,0.0,0.0
0.9045226130653266,0.0,0.0
0.9120603015075377,0.0,0.0
0.9195979899497487,0.0,0.0
0.9271356783919598,0.0,0.0
0.9346733668341708,0.0,0.0
0.9422110552763818,0.0,0.0
0.949748743718593,0.0,0.0
0.957286432160804,0.0,0.0
0.964824120603015,0.0,0.0
0.9723618090452261,0.0,0.0
0.9798994974874371,0.0,0.0
0.9874371859296482,0.0,0.0
0.9949748743718593,0.0,0.0
1.0025125628140703,0.0,0.0
1.0100502512562815,0.0,0.0
1.0175879396984924,0.0,0.0
1.0251256281407035,0.0,0.0
1.0326633165829144,0.0,0.0
1.0402010050251256,0.0,0.0
1.0477386934673367,0.0,0.0
1.0552763819095476,0.0,0.0
1.0628140703517588,0.0,0.0
1.0703517587939697,0.0,0.0
1.0778894472361809,0.0,0.0
1.085427135678392,0.0,0.0
1.092964824120603,0.0,0.0
1.100502512562814,0.0,0.0
1.108040201005025,0.0,0.0
1.1155778894472361,0.0,0.0
1.1231155778894473,0.0,0.0
1.1306532663316582,0.0,0.0
1.1381909547738693,0.0,0.0
1.1457286432160803,0.0,0.0
1.1532663316582914,0.0,0.0
1.1608040201005025,0.0,0.0
1.1683417085427135,0.0,0.0
1.1758793969849246,0.0,0.0
1.1834170854271355,0.0,0.0
1.1909547738693467,0.0,0.0
1.1984924623115578,0.0,0.0
1.2060301507537687,0.0,0.0
1.2135678391959799,0.0,0.0
1.2211055276381908,0.0,0.0
