y,phi_A,phi_B
-19.29885977195439,-0.9999999999971948,1.482570341577815e-07
-19.19883976795359,-0.9999999999967686,1.6060493160994182e-07
-19.09881976395279,-0.9999999999962776,1.739812486750499e-07
-18.99879975995199,-0.999999999995712,1.8847163967695912e-07
-18.89877975595119,-0.9999999999950605,2.0416889277727524e-07
-18.79875975195039,-0.99999999999431,2.2117352415118203e-07
-18.69873974794959,-0.9999999999934455,2.39594421645863e-07
-18.59871974394879,-0.9999999999924496,2.595495420439838e-07
-18.498699739947988,-0.9999999999913023,2.811666663977901e-07
-18.39867973594719,-0.9999999999899808,3.045842182710954e-07
-18.298659731946387,-0.9999999999884585,3.299521501291536e-07
-18.19863972794559,-0.9999999999867047,3.574329035527189e-07
-18.09861972394479,-0.9999999999846847,3.8720244942526556e-07
-17.99859971994399,-0.9999999999823576,4.194514147544055e-07
-17.89857971594319,-0.9999999999796769,4.543863033432829e-07
-17.79855971194239,-0.9999999999765891,4.922308181286719e-07
-17.69853970794159,-0.9999999999730319,5.332272936535338e-07
-17.598519703940788,-0.9999999999689343,5.776382478470413e-07
-17.498499699939988,-0.9999999999642142,6.25748063049081e-07
-17.398479695939187,-0.9999999999587768,6.778648070438979e-07
-17.298459691938387,-0.9999999999525132,7.343222057641339e-07
-17.198439687937586,-0.9999999999452979,7.954817802977764e-07
-17.098419683936786,-0.9999999999369863,8.617351618827255e-07
-16.998399679935986,-0.9999999999274118,9.33506599713502e-07
-16.89837967593519,-0.9999999999163827,1.0112556776193814e-06
-16.798359671934385,-0.9999999999036776,1.0954802570108736e-06
-16.69833966793359,-0.9999999998890422,1.1867196649404947e-06
-16.598319663932784,-0.999999999872183,1.2855581476935435e-06
-16.498299659931988,-0.9999999998527621,1.3926286120251012e-06
-16.398279655931184,-0.9999999998303905,1.5086166780016312e-06
-16.298259651930387,-0.9999999998046195,1.6342650694011986e-06
-16.198239647929583,-0.9999999997749329,1.770378369788197e-06
-16.098219643928786,-0.9999999997407357,1.9178281747204308e-06
-15.998199639927986,-0.9999999997013425,2.077558673083485e-06
-15.898179635927185,-0.9999999996559638,2.250592693295758e-06
-15.798159631926385,-0.99999999960369,2.4380382531049266e-06
-15.698139627925585,-0.9999999995434736,2.641095654922099e-06
-15.598119623924784,-0.9999999994741079,2.8610651721341204e-06
-15.498099619923984,-0.9999999993942026,3.099355375619812e-06
-15.398079615923184,-0.9999999993021562,3.3574921537966767e-06
-15.298059611922383,-0.999999999196124,3.6371284839669935e-06
-15.198039607921585,-0.9999999990739812,3.940055017544846e-06
-15.098019603920784,-0.9999999989332795,4.2682115469592345e-06
-14.997999599919984,-0.9999999987711994,4.623699427676469e-06
-14.897979595919184,-0.9999999985844923,5.008795034903908e-06
-14.797959591918383,-0.9999999983694166,5.425964341165737e-06
-14.697939587917583,-0.9999999981216616,5.877878708122764e-06
-14.597919583916783,-0.9999999978362623,6.367431993787911e-06
-14.497899579915982,-0.9999999975074985,6.8977590847173205e-06
-14.397879575915182,-0.9999999971287816,7.472255971887926e-06
-14.297859571914382,-0.9999999966925215,8.094601498864237e-06
-14.197839567913583,-0.999999996189975,8.768780921573971e-06
-14.097819563912783,-0.9999999956110703,9.499111430622537e-06
-13.997799559911982,-0.9999999949442053,1.0290269799654829e-05
-13.897779555911182,-0.9999999941760153,1.1147322336900493e-05
-13.797759551910382,-0.9999999932911046,1.2075757331802822e-05
-13.697739547909581,-0.9999999922717382,1.3081520204627395e-05
-13.59771954390878,-0.9999999910974868,1.4171051584276598e-05
