Lambda,K_t,c_4,m_sigma,m_sigma_over_mdyn,xi_Lambda
1.0,0.15425727689055085,-0.11956645982531967,0.40123663531572856,2.006183176578643,2.4922948504268843
2.0,0.260938522028336,-0.12841546060043227,0.396472828674355,1.982364143371775,2.522240939798059
