x,u
0.0,0.13967675150265502
1.5209170034901043,0.2160722806823771
3.0418340069802086,0.23283187904575964
4.562751010470313,0.18986019691560596
6.083668013960417,0.09210419727586103
7.604585017450521,-0.03601353065682103
9.125502020940626,-0.15061313121929587
10.64641902443073,-0.21820421038380072
12.167336027920834,-0.2305231844374947
13.68825303141094,-0.18879237848080133
15.209170034901042,-0.0964497718382186
16.730087038391147,0.025813316963300276
18.251004041881252,0.1380599907588008
19.771921045371357,0.20846394800827406
21.29283804886146,0.22969847757832482
22.813755052351564,0.20427993798008157
24.33467205584167,0.13220572939352815
25.855589059331773,0.022855670944392475
27.37650606282188,-0.0928217143945366
28.89742306631198,-0.17940336189388478
30.418340069802085,-0.22200733884492507
31.93925707329219,-0.22274901369968636
33.460174076782295,-0.18198271668417731
34.9810910802724,-0.09762660430494824
36.502008083762504,0.01653747443180098
38.02292508725261,0.12606454366317385
39.543842090742714,0.19985655505451919
41.06475909423281,0.22839473100306631
42.58567609772292,0.21248990206995189
44.10659310121302,0.149557093618776
45.62751010470313,0.043599071128601216
47.14842710819323,-0.07794327763432625
48.66934411168334,-0.17551020514864898
50.19026111517344,-0.2257970224778024
51.71117811866355,-0.22465414704377662
53.23209512215365,-0.1707256009737482
54.75301212564376,-0.06726233336565166
56.27392912913386,0.059868127211020916
57.79484613262396,0.16755997521367647
59.315763136114064,0.22589486168263284
60.83668013960417,0.22713114528556708
62.357597143094274,0.17018512482435388
63.87851414658438,0.06103873059218738
65.39943115007448,-0.07022605358220246
66.92034815356459,-0.17757488104109398
68.44126515705469,-0.2308463571445395
69.9621821605448,-0.2224112247278074
71.4830991640349,-0.15206933909477757
73.00401616752501,-0.03154500142662272
74.5249331710151,0.10104252519788477
76.04585017450522,0.19854923184843093
77.56676717799532,0.2356267927518552
79.08768418148543,0.20710240092653265
80.60860118497553,0.11559518727555275
82.12951818846562,-0.017109546263430808
83.65043519195574,-0.143882901430008
85.17135219544583,-0.22133637101653172
86.69226919893595,-0.23229994051438507
88.21318620242604,-0.17486005782206623
89.73410320591616,-0.05870769497864696
91.25502020940625,0.07991501580842249
92.77593721289637,0.18908440948132071
94.29685421638646,0.23573028726029982
95.81777121987658,0.21125388138732717
97.33868822336667,0.11877793346659865
98.85960522685677,-0.017724718715538948
100.38052223034688,-0.14773193721892655
101.90143923383698,-0.22474967367245477
103.4223562373271,-0.22993969632252279
104.94327324081719,-0.16191551615074817
106.4641902443073,-0.03554225175969224
107.9851072477974,0.10518464586152303
109.50602425128751,0.2059584808781566
111.02694125477761,0.23650157196309285
112.54785825826772,0.19046656602735926
114.06877526175782,0.07691371314403109
115.58969226524792,-0.06733063399492455
117.11060926873803,-0.1850602840242343
118.63152627222813,-0.23595313274721924
120.15244327571824,-0.20796656398115665
121.67336027920834,-0.10640074773596153
123.19427728269845,0.03752783442474041
124.71519428618855,0.16637987669943408
126.23611128967866,0.23233976480021307
127.75702829316876,0.21782469051366812
129.27794529665886,0.1255146039759069
130.79886230014895,-0.016925106943252166
132.31977930363908,-0.15253910328457282
133.84069630712918,-0.22849383628274406
135.36161331061928,-0.22274390925741708
136.88253031410937,-0.1362047033575686
138.4034473175995,0.00515665469884273
139.9243643210896,0.1445164343848876
141.4452813245797,0.22596923922160683
142.9661983280698,0.2245774226181697
144.48711533155992,0.14035585248523863
146.00803233505002,-0.0009452330821653754
147.52894933854012,-0.14196774550048494
149.0498663420302,-0.2252057361814096
150.5707833455203,-0.22446451129042158
152.09170034901044,-0.13971119008425398
153.61261735250054,0.002448300178884616
155.13353435599063,0.14362049862298604
156.65445135948073,0.22586875996950198
158.17536836297086,0.2231372154266943
159.69628536646096,0.1360279324816475
161.21720236995105,-0.0074054923395914934
162.73811937344115,-0.14764143646560313
164.25903637693125,-0.2272514050974536
165.77995338042138,-0.22127227953045364
167.30087038391147,-0.13128383024169693
168.82178738740157,0.01321089896123101
170.34270439089167,0.15193804599359428
171.8636213943818,0.22861017450281443
173.3845383978719,0.21974560019646378
174.905455401362,0.12778907372706066
176.4263724048521,-0.0169892041970076
177.94728940834221,-0.1543431467651423
179.4682064118323,-0.22930636877189364
180.9891234153224,-0.21965645725273555
