k,s(k)
0.0,0.02
0.010050251256281407,0.020030292062569097
0.020100502512562814,0.020121045819973735
0.03015075376884422,0.020271893981305984
0.04020100502512563,0.020482224395052602
0.05025125628140704,0.020751180049095073
0.06030150753768844,0.021077659070709583
0.07035175879396985,0.021460314726567023
0.08040201005025126,0.02189755542273299
0.09045226130653267,0.022387544704667795
0.10050251256281408,0.022928201257226447
0.11055276381909548,0.023517198904658677
0.12060301507537688,0.024151966610608915
0.1306532663316583,0.024829688478116296
0.1407035175879397,0.02554730374961466
0.15075376884422112,0.026301506806932575
0.16080402010050251,0.027088747171293292
0.1708542713567839,0.02790522950331478
0.18090452261306533,0.028746913603009724
0.19095477386934673,0.0296095144097855
0.20100502512562815,0.030488502002444205
0.21105527638190955,0.031379101599182634
0.22110552763819097,0.03227629355759231
0.23115577889447236,0.03317481337465941
0.24120603015075376,0.0340691516867649
0.25125628140703515,0.03495355426968439
0.2613065326633166,0.03582202203858823
0.271356783919598,0.036668311048041455
0.2814070351758794,0.03748593249200381
0.2914572864321608,0.03826815270382978
0.30150753768844224,0.03900799315626852
0.31155778894472363,0.039698230461463896
0.32160804020100503,0.04033139637095451
0.3316582914572864,0.04089977777567365
0.3417085427135678,0.04139541670594931
0.35175879396984927,0.0418101103315042
0.36180904522613067,0.042135410961455746
0.37185929648241206,0.04236262604431605
0.38190954773869346,0.04248281816799196
0.3919597989949749,0.04248680505978501
0.4020100502512563,0.042365159586391435
0.4120603015075377,0.04210820975390221
0.4221105527638191,0.04170603870780296
0.4321608040201005,0.0411484847329741
0.44221105527638194,0.04042514125369068
0.45226130653266333,0.039525356833622474
0.4623115577889447,0.038438235175833994
0.4723618090452261,0.03715263512278444
0.4824120603015075,0.035657170656327696
0.49246231155778897,0.0339402108977124
0.5025125628140703,0.03198988010758187
0.5125628140703518,0.02979405768597415
0.5226130653266332,0.027340378172321933
0.5326633165829145,0.024616231245452716
0.542713567839196,0.021608761723588624
0.5527638190954774,0.0183048695643465
0.5628140703517588,0.014691209864737986
0.5728643216080402,0.010754192861169257
0.5829145728643216,0.0064799839294414074
0.592964824120603,0.0018545035847500058
0.6030150753768845,-0.003136572518314479
0.6130653266331658,-0.008507813585766882
0.6231155778894473,-0.0142740336842275
0.6331658291457286,-0.020450291740921722
0.6432160804020101,-0.02705189154368043
0.6532663316582915,-0.034094381740939594
0.6633165829145728,-0.041593555841740515
0.6733668341708543,-0.04956545221573
0.6834170854271356,-0.05802635409315979
0.6934673366834171,-0.06699278956488733
0.7035175879396985,-0.07648153158237506
0.7135678391959799,-0.08650959795769061
0.7236180904522613,-0.09709425136350744
0.7336683417085427,-0.10825299933310364
0.7437185929648241,-0.12000359426036311
0.7537688442211056,-0.13236403339977476
0.7638190954773869,-0.14535255886643272
0.7738693467336684,-0.1589876576360369
0.7839195979899498,-0.17328806154489193
0.7939698492462312,-0.1882727472899079
0.8040201005025126,-0.20396093642860041
0.8140703517587939,-0.22037209537909005
0.8241206030150754,-0.23752593542010306
0.8341708542713568,-0.2554424126909708
0.8442211055276382,-0.27414172819162935
0.8542713567839196,-0.2936443277826213
0.864321608040201,-0.3139709021850933
0.8743718592964824,-0.3351423869807984
0.8844221105527639,-0.35717996261209395
0.8944723618090452,-0.38010505438194303
0.9045226130653267,-0.4039393324539144
0.914572864321608,-0.4287047118521812
0.9246231155778895,-0.4544233524615229
0.9346733668341709,-0.4811176590273235
0.9447236180904522,-0.5088102811555721
0.9547738693467337,-0.5375241133128645
0.964824120603015,-0.5672822948264
0.9748743718592965,-0.5981082098839845
0.9849246231155779,-0.6300254875340285
0.9949748743718593,-0.6630580016855476
1.0050251256281406,-0.6972298711081637
1.015075376884422,-0.7325654594321034
1.0251256281407035,-0.7690893751481984
1.035175879396985,-0.8068264716078859
1.0452261306532664,-0.8458018470232084
1.0552763819095476,-0.8860408444668124
1.065326633165829,-0.9275690518719533
1.0753768844221105,-0.9704123020324882
1.085427135678392,-1.0145966726028808
1.0954773869346734,-1.0601484860981998
1.105527638190955,-1.10709430989412
1.1155778894472361,-1.1554609562269191
1.1256281407035176,-1.2052754821934846
1.135678391959799,-1.2565651897513053
1.1457286432160805,-1.3093576257184765
1.155778894472362,-1.363680581773699
1.1658291457286432,-1.4195620944562777
1.1758793969849246,-1.477030445166126
1.185929648241206,-1.5361141601637596
1.1959798994974875,-1.5968420105703
1.206030150753769,-1.6592430123674742
1.2160804020100502,-1.7233464263976137
1.2261306532663316,-1.789181758363659
1.236180904522613,-1.8567787588291513
1.2462311557788945,-1.9261674232182393
1.256281407035176,-1.9973779918156769
1.2663316582914572,-2.07044094976682
1.2763819095477387,-2.1453870270776374
1.2864321608040201,-2.2222471986146966
1.2964824120603016,-2.3010526841051724
1.306532663316583,-2.3818349481368446
1.3165829145728642,-2.4646257001580967
1.3266331658291457,-2.549456894477923
1.3366834170854272,-2.6363607302659187
1.3467336683417086,-2.7253696515522834
1.35678391959799,-2.8165163472278243
1.3668341708542713,-2.9098337510439514
1.3768844221105527,-3.0053550416126855
1.3869346733668342,-3.1031136424066474
1.3969849246231156,-3.2031432217590643
1.407035175879397,-3.3054776928637697
1.4170854271356783,-3.4101512137751993
1.4271356783919598,-3.517198187408401
1.4371859296482412,-3.626653261539022
1.4472361809045227,-3.7385513288033163
1.4572864321608041,-3.8529275266981426
1.4673366834170853,-3.9698172375809646
1.4773869346733668,-4.089256088669855
1.4874371859296482,-4.21127995204349
1.4974874371859297,-4.335924944641146
1.5075376884422111,-4.463227428262713
1.5175879396984926,-4.59322400956868
1.5276381909547738,-4.72595154008014
1.5376884422110553,-4.861447116178803
1.5477386934673367,-4.999748079106971
1.5577889447236182,-5.140892014967557
1.5678391959798996,-5.284916754724079
1.5778894472361809,-5.431860374200657
1.5879396984924623,-5.581761194082024
1.5979899497487438,-5.734657779913513
1.6080402010050252,-5.89058894210106
1.6180904522613067,-6.049593735911211
1.6281407035175879,-6.211711461471112
1.6381909547738693,-6.3769816637685235
1.6482412060301508,-6.545444132651802
1.6582914572864322,-6.717138902829914
1.6683417085427137,-6.892106253872431
1.678391959798995,-7.0703867102095215
1.6884422110552764,-7.252021041131977
1.6984924623115578,-7.43705026079118
1.7085427135678393,-7.625515628199121
1.7185929648241207,-7.817458647228398
1.728643216080402,-8.01292106661221
1.7386934673366834,-8.21194487994437
1.7487437185929648,-8.41457232567929
1.7587939698492463,-8.620845887131987
1.7688442211055277,-8.830808292478082
1.778894472361809,-9.044502514753804
1.7889447236180904,-9.261971771855993
1.7989949748743719,-9.483259526542087
1.8090452261306533,-9.708409486430126
1.8190954773869348,-9.937465603998763
1.829145728643216,-10.170472076587249
1.8391959798994975,-10.407473346395452
1.849246231155779,-10.648514100483833
1.8592964824120604,-10.893639270773464
1.8693467336683418,-11.142894034046025
1.879396984924623,-11.396323811943786
1.8894472361809045,-11.653974270969648
1.899497487437186,-11.915891322487099
1.9095477386934674,-12.182121122720233
1.9195979899497488,-12.452710072753757
1.92964824120603,-12.727704818532972
1.9396984924623115,-13.0071522508638
1.949748743718593,-13.29109950541276
1.9597989949748744,-13.57959396270697
1.9698492462311559,-13.872683248134164
1.9798994974874373,-14.170415231942671
1.9899497487437185,-14.472838029241432
2.0,-14.78
