ix,iy,u
124,76,-0.24045933030033448
124,80,-0.02431479123530124
124,84,0.14527428311622048
124,88,-0.2491046683938672
124,92,0.1223263983490113
124,96,0.020722554170136187
124,100,-0.17202045764923585
124,104,0.22203080220076712
124,108,-0.1289398070379616
124,112,-0.1451872238429626
124,116,0.15852567155118483
124,120,-0.1436427452886453
124,124,-0.06284406152113803
