r,psi
0.01,0.002377423364330459
0.09,0.021386989128821667
0.17,0.040349467498162345
0.25,0.05922324308735908
0.33,0.07796714166637392
0.41000000000000003,0.09654063293047446
0.49,0.11490402781811479
0.5700000000000001,0.13301866874191653
0.65,0.15084711118713567
0.73,0.1683532952393565
0.81,0.18550270572724628
0.89,0.20226251980490045
0.97,0.21860174094931653
1.05,0.23449131850938512
1.1300000000000001,0.24990425211086428
1.21,0.26481568039446385
1.29,0.27920295373876247
1.37,0.29304569079358583
1.45,0.306325818820176
1.53,0.3190275979996034
1.61,0.3311376300282267
1.69,0.34264485146661616
1.77,0.3535405124444723
1.85,0.36381814144727137
1.93,0.373473497019447
2.01,0.38250450731298047
2.09,0.39091119848875816
2.17,0.398695613040648
2.25,0.40586171915889246
2.3299999999999996,0.4124153122803857
2.4099999999999997,0.41836390998915607
2.4899999999999998,0.42371664143162435
2.57,0.42848413239876537
2.65,0.43267838720232144
2.73,0.4363126684357421
2.81,0.4394013756639434
2.8899999999999997,0.4419599240305386
2.9699999999999998,0.4440046237083106
3.05,0.445552561049744
3.13,0.4466214822208193
3.21,0.4472296800242559
3.29,0.44739588453930323
3.3699999999999997,0.4471391581252269
3.4499999999999997,0.44647879525618434
3.53,0.4454342275757256
3.61,0.44402493448426134
3.69,0.44227035949822163
3.77,0.4401898325502922
3.8499999999999996,0.43780249833435386
3.9299999999999997,0.43512725073764813
4.01,0.43218267334651783
4.09,0.4289869859610537
4.17,0.4255579970082588
4.25,0.4219130617028937
4.33,0.41806904577006776
4.41,0.41404229451369995
4.49,0.4098486069900199
4.57,0.405503215025153
4.6499999999999995,0.40102076680026666
4.7299999999999995,0.3964153147163714
4.81,0.3917003072434178
4.89,0.38688858445455604
4.97,0.3819923769457786
5.05,0.3770233078435025
5.13,0.37199239760751035
5.21,0.3669100713437412
5.29,0.361786168350435
5.37,0.3566299536316489
5.45,0.3514501311240552
5.53,0.34625485839576725
5.61,0.34105176258957964
5.6899999999999995,0.3358479573971592
5.77,0.33065006086520365
5.85,0.3254642138491832
5.93,0.3202960989448661
6.01,0.31515095974224655
6.09,0.3100336202605473
6.17,0.3049485044367157
6.25,0.29989965555302067
6.33,0.2948907555020054
6.41,0.28992514379907125
6.49,0.28500583626438425
6.57,0.28013554330643814
6.65,0.2753166877496573
6.7299999999999995,0.2705514221576773
6.81,0.26584164561254087
6.89,0.2611890199179374
6.97,0.256594985201834
7.05,0.2520607749003716
7.13,0.24758743011084858
7.21,0.2431758133068961
7.29,0.23882662141369385
7.37,0.23454039824524903
7.45,0.23031754630944862
7.53,0.22615833798976906
7.61,0.22206292611528544
7.6899999999999995,0.21803135393295991
7.77,0.21406356449813965
7.85,0.21015940950080184
7.93,0.2063186575463945
8.01,0.20254100191111418
8.09,0.19882606779222003
8.17,0.19517341907449756
8.25,0.19158256463431902
8.33,0.18805296420285972
8.41,0.18458403381001753
8.49,0.1811751508304129
8.57,0.17782565865256542
8.65,0.17453487099196138
8.73,0.17130207586823765
8.81,0.16812653926618357
8.89,0.1650075084996434
8.97,0.16194421529675512
9.05,0.15893587862427883
9.13,0.15598170726805574
9.21,0.15308090218590048
9.29,0.15023265864849059
9.37,0.1474361681830757
9.45,0.14469062033408325
9.53,0.1419952042539571
9.61,0.1393491101368438
9.69,0.13675153050702432
9.77,0.13420166137329956
9.85,0.13169870325986496
9.93,0.12924186212355288
10.01,0.12683035016669
10.09,0.12446338655422542
10.17,0.12214019804319293
10.25,0.1198600195320271
10.33,0.1176220945367245
10.41,0.11542567560034034
10.49,0.11327002464184098
10.57,0.11115441324987997
10.65,0.10907812292664502
10.73,0.10704044528653266
10.81,0.10504068221402255
10.89,0.10307814598478265
10.97,0.10115215935370474
11.05,0.09926205561326706
11.13,0.09740717862533038
11.21,0.09558688282921748
11.29,0.09380053322867171
11.37,0.09204750536006454
11.45,0.09032718524401064
11.53,0.08863896932235713
11.61,0.08698226438232516
11.69,0.08535648746942201
11.77,0.08376106579058668
11.85,0.08219543660889156
11.93,0.08065904713099215
12.01,0.07915135438840344
12.09,0.07767182511356908
12.17,0.07621993561158759
12.25,0.07479517162838026
12.33,0.07339702821599069
12.41,0.07202500959564326
12.49,0.07067862901911037
12.57,0.0693574086288829
12.65,0.06806087931757743
12.73,0.06678858058696986
12.81,0.06554006040699457
12.89,0.06431487507500895
12.97,0.06311258907558376
13.05,0.06193277494105301
13.13,0.060775013113018556
13.21,0.05963889180498447
13.290000000000001,0.05852400686626944
13.37,0.057429961647324765
13.45,0.05635636686656427
13.53,0.0553028404788007
13.61,0.05426900754536218
13.69,0.05325450010595144
13.77,0.05225895705229912
13.85,0.05128202400365056
13.93,0.05032335318411779
14.01,0.04938260330191859
14.09,0.04845943943051809
14.17,0.047553532891681904
14.25,0.046664561140444656
14.33,0.04579220765199191
14.41,0.04493616181045079
14.49,0.04409611879958015
14.57,0.04327177949534777
14.65,0.04246285036037985
14.73,0.04166904334026564
14.81,0.040890075761698196
14.89,0.04012567023242995
14.97,0.039375554543022724
15.05,0.038639461570367996
15.13,0.03791712918295201
15.21,0.037208300147842904
15.290000000000001,0.03651272203937326
15.37,0.03583014714949461
15.45,0.035160332399773314
15.53,0.03450303925500689
15.61,0.03385803363842921
15.69,0.03322508584848153
15.77,0.032603970477122976
15.85,0.03199446632965238
15.93,0.03139635634601664
16.01,0.030809427523578747
16.090000000000003,0.03023347084132088
16.17,0.02966828118545595
16.250000000000004,0.02911365727642334
16.330000000000002,0.028569401597243547
16.41,0.02803532032320709
16.490000000000002,0.0275112232528738
16.57,0.02699692374035838
16.650000000000002,0.026492238628878628
16.73,0.02599698818554356
16.810000000000002,0.025510996037358624
16.89,0.025034089108424536
16.970000000000002,0.024566097558309626
17.05,0.024106854721572604
17.130000000000003,0.023656197048414162
17.21,0.023213964046437965
17.290000000000003,0.02277999822349899
17.37,0.02235414503161991
17.450000000000003,0.021936252811955177
17.53,0.02152617274078354
17.610000000000003,0.021123758776509773
17.69,0.020728867607656857
17.770000000000003,0.02034135860183013
17.85,0.01996109375563487
17.930000000000003,0.019587937645530802
18.01,0.019221757379604812
18.090000000000003,0.018862422550244604
18.17,0.018509805187697456
18.250000000000004,0.018163779714496838
18.330000000000002,0.017824222900741173
18.410000000000004,0.017491013820208304
18.490000000000002,0.017164033807290348
18.57,0.016843166414733362
18.650000000000002,0.016528297372167478
18.73,0.01621931454541196
18.810000000000002,0.015916107896541194
18.89,0.01561856944469696
18.970000000000002,0.015326593227633157
19.05,0.015040075263979843
19.130000000000003,0.014758913516212358
19.21,0.01448300785431281
19.290000000000003,0.0142122600201108
19.37,0.013946573592290805
19.450000000000003,0.013685853952053842
19.53,0.013430008249420837
