candidate,U0_or_dm,R,E0,threshold,bound,xi_loc
scalar_KG,0.4,4.0,0.9717800041847351,1.0,True,4.239281915364274
fermion_Dirac,0.6,4.0,0.558900537374089,1.0,True,
